survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,KIIACP,1991,Sumatera Barat - Kabupaten Pasaman,Perempuan,Orang tua,,Ibu,Mandailing,Mandailing,Di rumah,Mandailing,Mandailing,Mandailing,Mandailing,SD,Sumatera Barat - Kabupaten Pasaman, Sumatera Barat - Kabupaten Pasaman,Ibu rumah Tangga,Islam,,Mandailing,"Indonesia, Minang"
,,,,,,,Bapak,Mandailing,Mandailing,"di sawah, Ladang",Mandailing,Mandailing,Mandailing,Mandailing,SD,Sumatera Barat - Kabupaten Pasaman,Sumatera Barat - Kabupaten Pasaman,Petani,Islam,,Mandailing,"Mandailing, Indonesia"
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,ODWQDU,1991,Sumatera Barat - Batusangkar,Perempuan,Orang tua,3-5,Ibu,Minang,Minang,,Minang,Minang,Minang,Tanjung,SMA,Sumatera Barat - Batusangkar,Sumatera Barat - Kabupaten AgamSumatera Barat - Batusangkar,,Islam,1952,Minang,Minang
,,,,,,,Bapak,Minang,Minang,,Minang,Minang,Minang,Piliang,SMP,Sumatera Barat - Batusangkar,Sumatera Barat - Batusangkar,,Islam,1952,Minang,Minang
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,OJWPAL,1991,Sumatera Barat - Padang Pariaman,Perempuan,Nenek,3-5,Ibu,Toboh,Toboh,,Toboh,Toboh,Minang,Gucci,SD,Sumatera Barat - Tapan,Jawa Barat - Kabupaten Bogor,IRT,Islam,1964,Minang,Indonesia
,,,,,,,Bapak,Toboh,Toboh,Toboh,Toboh,Toboh,Minang,Gucci,SD,#NAME?,Sumatera Utara - Kota Medan,TANI,Islam,1954,Minang,Indonesia
,,,,,,,Ibu dari ibu,Toboh,Toboh,,Toboh,Toboh,Minang,Gucci,sd,#NAME?,#NAME?,IRT,Islam,1945,Toboh,Minang
,,,,,,,Bapak dari ibu,,,,,,,,sd,#NAME?,#NAME?,WIRASWASTA,Islam,,Toboh,Minang
,,,,,,,Ibu dari bapak,,,,,,,PANYALAI,sd, , ,IRT,Islam,,Toboh,Minang
,,,,,,,Bapak dari bapak,,,,,,,,SD, , ,Wiraswasta,Islam,,Toboh,Minang
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,JQFEMZ,1992,Sumatera Barat - Tapus,Perempuan,Orang Tua,lebih dari 24,Ibu,"Tapus, Minang, Payakumbuh","Minang, Payakumbuh",,Tapus,"Minang, Tapus","Minang, Payakumbuh",Tajung,SD,Sumatera Barat - Kota Payakumbuh,Sumatera Barat - Tapus,Rumah tangga,Islam,1961,"Minang, Payakumbuh","Minang, Tapus"
,,,,,,,Bapak,"Minang, Tapus",Batak Toba,,Tapus,"Minang, Tapus","Batak, Minang",Tambunan,SD,#NAME?,Sumatera Barat - Tapus,Pedagang,Islam,1960,Batak Toba,"Minang, Tapus"
,,,,,,,Ibu dari ibu,,,,,,,Tajung,, , ,,Islam,,"Minang, Tapus",
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,Islam,,"Minang, Payakumbuh",
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,Islam,,Batak Toba,
,,,,,,,Bapak dari bapak,,,,,,,Tambunan,, , ,,Islam,,Batak Toba,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,LMLIVO,1993,Sumatera Barat - Kabupaten Dharmasraya,Perempuan,Orang Tua,12-24,Ibu,Minang,Minang,"Minang, Indonesia",Minang,Minang,"Minang, Indonesia",Minang (Melayu),S1,Sumatera Barat - Kabupaten Dharmasraya,Sumatera Barat - Kabupaten Dharmasraya,Pegawai Negeri,Islam,1967,Minang,Indonesia
,,,,,,,Bapak,Minang,Minang,Indonesia,Minang,Minang,"Minang, Indonesia",Minang (Chaniago),SMA,Sumatera Barat - Batusangkar,Sumatera Barat - Kabupaten Dharmasraya,TNI-AD,Islam,1964,Minang,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,WCCYOO,1992,Sumatera Barat - Kabupaten Pesisir Selatan,Perempuan,Orang Tua,lebih dari 24,Ibu,Minang,Minang,Minang,Minang,Minang,Minang,Melayu,SLTA,#NAME?,#NAME?,,Islam,1967,Minang,Minang
,,,,,,,Bapak,Minang,Minang,Minang,Minang,Minang,Minang,Sikumbang,SLTA,#NAME?,#NAME?,,Islam,1964,Minang,Minang
,,,,,,,Ibu dari ibu,Minang,Minang,Minang,,Minang,,,, , ,,Islam,,Minang,Minang
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,UAADSB,1995,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Nenek,3-5,Ibu,"Melayu, Minang",Minang,"Tembilahan, Riau","Melayu, Minang",Minang,Minang,Panyalai,SMP,Sumatera Barat - Kabupaten Padang Pariaman,Riau - Tembilahan,Rumah Tangga,Islam,19,Minang,Melayu
,,,,,,,Bapak,Indonesia,Minang,Jakarta,"minang, Indonesia",Indonesia,"minang, Indonesia",Guci,SD,Sumatera Barat - Kabupaten Padang Pariaman,DKI Jakarta,Wiraswasta,Islam,19,Minang,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,ZPAJSB,1994,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Orang tua,lebih dari 24,Ibu,Melayu,Minang,Minang,Minang,Melayu,Minang,jambak,S1,Sumatera Barat - Kabupaten Padang Pariaman,Sumatera Barat - Kabupaten Padang Pariaman,PNS,Islam,,Minang,Melayu
,,,,,,,Bapak,Melayu,Melayu,Minang,Minang,Melayu,Melayu,Piliang,S1,Sumatera Barat - Kabupaten Padang Pariaman,Sumatera Barat - Kabupaten Padang Pariaman,PNS,Islam,,Melayu,Minang
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,GYLSDY,1992,Sumatera Barat - Kabupaten Pasaman,Perempuan,Orang tua,3-5,Ibu,Napolen Baru,Napolen Baru,,Minang,"Minang, Napolen Baru",Minang,Melayu,SMK,#NAME?,#NAME?,petani,Islam,1966,Minang,Tapanuli
,,,,,,,Bapak,Napolen Baru,Napolen Baru,,Minang,Minang,Minang,Tanjuang,SMK,#NAME?,#NAME?,petani,Islam,1965,Minang,Tapanuli
,,,,,,,Ibu dari ibu,Minang,Minang,Minang,Minang,Minang,Minang,,SD,#NAME?,#NAME?,Petani,Islam,,Napolen Baru,Tapanuli
,,,,,,,Bapak dari ibu,Minang,Minang,Minang,Minang,Minang,Minang,,SMP,#NAME?,#NAME?,Petani,Islam,,Napolen Baru,Tapanuli
,,,,,,,Ibu dari bapak,Minang,Minang,Minang,Minang,Minang,Minang,,SMP,#NAME?,#NAME?,Petani,Islam,,Napolen Baru,Tapanuli
,,,,,,,Bapak dari bapak,Minang,Minang,Indonesia,Minang,Minang,Minang,,SMA,#NAME?,#NAME?,KUA,Islam,,Napolen Baru,Tapanuli
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,IESDQR,1993,Sumatera Utara - Sayurmatinggi,Perempuan,Orang Tua,6-12,Ibu,mandailing,mandailing,Indonesia,mandailing,mandailing,mandailing,Lubis,D2,#NAME?,#NAME?,Guru SD,Islam,,mandailing,Indonesia
,,,,,,,Bapak,mandailing,mandailing,Indonesia,mandailing,mandailing,mandailing,Daulay,SMA,#NAME?,#NAME?,Guru SD,Islam,170819,mandailing,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,CQJPQF,1995, Sumatera Barat - Kabupaten Pasaman,Perempuan,Orang tua,,Ibu,"Minang, Mandailing",Mandailing,Di rumah,"Minang, Mandailing",Mandailing,"Indonesia, Mandailing",Nasution,SD,#NAME?,Sumatera Barat - Kabupaten Pasaman,Ibu rumah tangga,Islam,1957,Mandailing,"Minang, Indonesia"
,,,,,,,Bapak,Mandailing,"Minang, Mandailing","Indonesia, Mandailing","Mandailing, Minang, Indonesia",Di rumah,"Indonesia, Mandailing",Hasibuan,SD,#NAME?,Sumatera Barat - Kabupaten Pasaman,Wiraswasta,Islam,1957,Mandailing,"Minang, Indonesia"
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,DJYVAB,1991,Sumatera Barat - Inderapura,Perempuan,Orang Tua,3-5,Ibu,,Tarusan,,Pesisir,Minang,Minang,Caniago,SD,#NAME?, ,RT,Islam,1951,Pesisir,Padang (Pesisir)
,,,,,,,Bapak,Inderapura,Jawa,Kapolda Tarusan,Pesisir,Minang,"Jawa, Minang",Melayu,SMP,#NAME?,#NAME?,Polisi,Islam,1945,Jawa,Jawa (minang)
,,,,,,,Ibu dari ibu,,,,,,,Caniago,SD,#NAME?, ,RT,Islam,1922,Melayu,Minang
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,Islam,1920,Tarusan,Minang
,,,,,,,Ibu dari bapak,,,,,,,Melayu,,#NAME?, ,,Islam,1924,Tarusan,Jawa
,,,,,,,Bapak dari bapak,,,,,,,,,#NAME?, ,,Islam,1926,Jawa,Jawa
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Jawa,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,GWPLFD,1995,Sumatera Barat - Kabupaten Dharmasraya,Perempuan,Orang Tua,,Ibu,Minang,"Minang, Indonesia",di rumah,Minang,Minang,"Minang, Indonesia",Patapang,SD,Sumatera Barat - Kabupaten Dharmasraya,Sumatera Barat - Kabupaten Dharmasraya,Ibu rumah tangga,Islam,1968,Minang,"Minang, Indonesia"
,,,,,,,Bapak,Minang,"Melayu, Indonesia",,Minang,Minang,"Minang, Indonesia, Melayu",Melayu,MAN,Riau - Kota Pekanbaru,Sumatera Barat - Kabupaten Dharmasraya,wiraswasta,Islam,1965,Melayu,"Minang, Indonesia"
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-UNP-November-2013,RQATYV,1992,Sumatera Barat - Kota Pariaman,Perempuan,Orang Tua,3-5,Ibu,"Pesisir, Pariaman",Pesisir,Ibu rumah Tangga,Minang,"Pesisir, Pariaman","Indonesia, Minang",Melayu,SMA,#NAME?,#NAME?,Ibu RT,Islam,1958,"Pesisir, Pariaman",
,,,,,,,Bapak,"Pesisir, Pariaman",Pesisir,Pariaman,Minang,"Pesisir, Pariaman","Indonesia, Minang",Tanjuang,CAN (Pariaman),#NAME?,#NAME?,PNS,Islam,1954,"Pesisir, Pariaman",
,,,,,,,Ibu dari ibu,,Muaro api-api,,,,,Melayu,,#NAME?,#NAME?,,Islam,1918,Pesisir,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,Islam,1917,Pesisir,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,VVPKIL,1992,Sumatera Barat - Kabupaten Padang Pariaman,Laki,Orang Tua,0,Ibu,minang,minang,minang,minang,minang,minang,Minangkabau,SD,Sumatera Barat - Kabupaten Padang Pariaman,Sumatera Barat - Kabupaten Padang Pariaman,Dagang,Islam,1950,minang,
,,,,,,,Bapak,minang,minang,minang,minang,minang,minang,Minangkabau,SMP,Sumatera Barat - Kabupaten Padang Pariaman,Sumatera Barat - Kabupaten Padang Pariaman,Tani,Islam,1950,minang,
,,,,,,,Ibu dari ibu,,,,,,,Minangkabau,, ,#NAME?,,Konfusius,,,
,,,,,,,Bapak dari ibu,,,,,,,Minangkabau,, ,#NAME?,"Dagang, Tani",Islam,,,
,,,,,,,Ibu dari bapak,,,,,,,Minangkabau,, ,#NAME?,,Islam,,,
,,,,,,,Bapak dari bapak,,,,,,,Minangkabau,, ,#NAME?,,Islam,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,USOCPL,1994,Sumatera Barat - Kabupaten Agam,Laki,Orang Tua,1-2,Ibu,Minang,Minang,Minang,Minang,Minang,"Minang, Indonesia",Koto,SMP,Sumatera Barat - Kabupaten Agam,Sumatera Barat - Kabupaten Agam,Sudah Almarhum,Islam,1965,Minang Bukittinggi,Indonesia
,,,,,,,Bapak,Minang,Minang,"Minang, Indonesia",Minang,Minang,,,SMP,Sumatera Barat - Kota Padangpanjang,Sumatera Barat - Kota Padangpanjang,Dagang,Islam,1965,Minang Padang Panjang ,Indonesia
,,,,,,,Ibu dari ibu,,Minang,,Minang,Minang,,Koto,SD,Sumatera Barat - Kabupaten Agam,#NAME?,Dagang,Islam,1936,Minang Padang Panjang ,Indonesia
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,1930,Minang,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,JUKHRP,1991,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Orang tua ,6-12,Ibu,Minang,Minang,Minang,Minang,Minang,"Minang, Sunda, Indonesia",Tanjung,SD,Sumatera Barat - Kabupaten Padang Pariaman,#NAME?,RT,Islam,1950,Minang,Indonesia
,,,,,,,Bapak,Minang,Minang,Minang,"Minang, IndonesiaMinang",Minang,"Minang, Indonesia",Panyalai,SD,#NAME?,#NAME?,Wiraswasta,Islam,1948,Minang,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,LSPQGV,1992,Sumatera Barat - Kabupaten Padang Pariaman,Perempuan,Orang tua,lebih dari 24,Ibu,Ulakan,Ulakan,Ulakan,Ulakan,Ulakan,Ulakan,Jambak,SD,#NAME?,#NAME?,Ibu rumah tangga,Islam,1973,Ulakan,Kataping
,,,,,,,Bapak,Ulakan,Kataping,Ulakan,"Ulakan, Ketaping",Ulakan,Ulakan,Sikumbang,SD,#NAME?,#NAME?,Wiraswasta,Islam,1958,Kataping,Ulakan
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,EMGSNV,1995,Sumatera Barat - Kabupaten Solok,Perempuan,orang tua,3-5,Ibu,Indonesia,Jawa,,Minang,"Indonesia, Jawa, Minang","Jawa, Minang",Jawa,SMA,Sumatera Barat - Kabupaten Dharmasraya,Sumatera Barat - Kabupaten Dharmasraya,,Islam,1970,Jawa,"Minang, Indonesia"
,,,,,,,Bapak,Indonesia,,Kodim 0310/35,Minang,"Indonesia, Jawa, Minang","Jawa, Minang",Jawa,SMA,Sumatera Barat - Kota Bukittinggi,Sumatera Barat - Kabupaten Dharmasraya,TNI-AD,Islam,1960,Jawa,"Minang, Indonesia"
,,,,,,,Ibu dari ibu,,,,,,,Jawa,, , ,,Islam,,,
,,,,,,,Bapak dari ibu,,,,,,,Jawa,, , ,,Islam,,,
,,,,,,,Ibu dari bapak,,,,,,,Jawa,, ,Jawa Tengah - Kota Surakarta,,Islam,,,
,,,,,,,Bapak dari bapak,,,,,,,Jawa,, ,Jawa Tengah - Kota Surakarta,TNI-AD,Islam,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,ARXKHK,1993,Sumatera Barat - Kabupaten Pasaman,Laki,Bersama kedua Ortu,1-2,Ibu,Minang,Minang,Indonesia,Minang,Minang,Campur,Minang Kabau,SMA,Sumatera Barat - Kabupaten Pasaman,Sumatera Barat - Kabupaten Pasaman,PNS Abri,Islam,1955,Minang,Indonesia
,,,,,,,Bapak,Minang,Melayu,Minang,Minang,Minang,Campur,Minang Kabau,SMA,Riau - Kota Pekanbaru,Sumatera Barat - Kabupaten Pasaman,Wiraswasta,Islam,1960,Melayu,Minang
,,,,,,,Ibu dari ibu,,Minang,,Minang,Minang,Minang,Minang Kabau,Tidak sekolah,Sumatera Barat - Kabupaten Pasaman,#NAME?,,Islam,1918,Melayu,Indonesia
,,,,,,,Bapak dari ibu,,Minang,,Minang,Minang,Minang,Minang Kabau,,Sumatera Barat - Kabupaten Pasaman,#NAME?,Guru,Islam,1915,Minang,Indonesia
,,,,,,,Ibu dari bapak,Campur,Minang,,Campur,Indonesia,Campur,Minang Kabau,,Sumatera Barat - Kabupaten Pasaman,Riau - Kota Pekanbaru,,Islam,1930,Minang,
,,,,,,,Bapak dari bapak,,,,Indonesia,Indonesia,Indonesia,Jawa,, ,#NAME?,,Islam,1915,Minang,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Indonesia,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,XDOXBH,1995,Sumatera Utara - Kota Medan,Laki,Orang Tua,1-2,Ibu,"Minang, indonesia",Minang,Indonesia,"Minang, indonesia","Minang, indonesia","Minang, indonesia",Minang,SMA,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1960,Minang,Indonesia
,,,,,,,Bapak,"Minang, indonesia",Minang,Indonesia,"Minang, indonesia","Minang, indonesia","Minang, indonesia",Minang,sma,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,pegawai negeri sipil,Islam,1953,Minang,Indonesia
,,,,,,,Ibu dari ibu,Indonesia,Minang,Minang,Minang,Minang,Minang,Minang,SD,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Hindu,1930,Minang,Indonesia
,,,,,,,Bapak dari ibu,,Minang,,,,,Minang,SMP,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1925,Minang,Indonesia
,,,,,,,Ibu dari bapak,,Minang,,,,,Minang,SMP,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1930,Minang,Indonesia
,,,,,,,Bapak dari bapak,,Minang,,,,,Minang,SMA,Sumatera Barat - Kabupaten Pesisir Selatan,Sumatera Barat - Kabupaten Pesisir Selatan,,Islam,1925,Minang,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,PKHFHR,1996,Jambi - Muara Bungo,Laki,Orang tua,3-5,Ibu,Indonesia,Daerah (Limbur),Indonesia,Indonesia,Indonesia,Indonesia,,SMA,Jambi - Muara Bungo,Jambi - Muara Bungo,Ibu Rumah Tangga,Islam,1980,Daerah (Limbur),Indonesia
,,,,,,,Bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,,SMA,Jambi,Jambi - Muara Bungo,Wiraswasta,Islam,1975,Indonesia,Indonesia
,,,,,,,Ibu dari ibu,Daerah,Daerah,Indonesia,Indonesia,Daerah,Indonesia,,SD,Jambi - Muara Bungo,Jambi - Muara Bungo,IRT,Islam,1952,Daerah (Limbur),Indonesia
,,,,,,,Bapak dari ibu,Daerah,Daerah,Indonesia,Indonesia,Daerah,Indonesia,,SD,Jambi - Muara Bungo,Jambi - Muara Bungo,Wiraswasta,Islam,1947,Daerah (Limbur),Indonesia
,,,,,,,Ibu dari bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,,SD,Jambi,Jambi,IRT,Islam,1937,Indonesia,Indonesia
,,,,,,,Bapak dari bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,,SMP,Jambi,Jambi,TNI,Islam,1930,Indonesia,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,KGNATI,1995,Sumatera Barat - Kota Pariaman,Laki,Orang tua,lebih dari 24,Ibu,Minang,Minang,Indonesia,Minang,Minang,"Indonesia, Minang",Minang,S1,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Pariaman,,Islam,1964,Minang,Indonesia
,,,,,,,Bapak,Minang,Minang,Indonesia,Minang,Minang,"Indonesia, Minang",Minang,SMA,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Pariaman,,Islam,1964,Minang,Indonesia
,,,,,,,Ibu dari ibu,Minang,Minang,Minang,Minang,Minang,Minang,Minang,Tidak sekolah,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Pariaman,Tani,Islam,1923,Minang,
,,,,,,,Bapak dari ibu,Minang,Minang,Minang,Minang,Minang,Minang,Minang,Tidak sekolah,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Pariaman,tani,Islam,1923,Minang,
,,,,,,,Ibu dari bapak,Minang,Minang,Minang,Minang,Minang,Minang,Minang,Tidak sekolah,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Pariaman,Tani,Islam,1924,Minang,
,,,,,,,Bapak dari bapak,Minang,Minang,Minang,Minang,Minang,Minang,Minang,Tidak sekolah,Sumatera Barat - Kota Pariaman,Sumatera Barat - Kota Pariaman,Tani,Islam,1920,Minang,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Padang-Bung Hatta-November-2013,XKTNYZ,1992,Riau - Kota Pekanbaru,Laki,Orang Tua,6-12,Ibu,Indonesia,Indonesia,Indonesia,Indonesia,,Indonesia,Melayu,SMA,Riau - Kota Pekanbaru,Riau - Kota Pekanbaru,Ibu Rumah Tangga,Islam,1960,Indonesia,Indonesia
,,,,,,,Bapak,Indonesia,Indonesia,Indonesia,Indonesia,,Indonesia,,SMA,Riau - Kota Pekanbaru,Riau - Kota Pekanbaru,Wiraswasta,Islam,1957,Indonesia,
,,,,,,,Ibu dari ibu,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Melayu,SMA,Sumatera Barat - Kota Padang,Riau - Kota Pekanbaru,Wiraswasta,Islam,,Indonesia,
,,,,,,,Bapak dari ibu,,,,,,,Guci,Polisi, ,Riau - Kota Pekanbaru,,Islam,,Indonesia,
,,,,,,,Ibu dari bapak,,,,,,,S Kampuang,, ,Riau - Kota Pekanbaru,,Islam,,Indonesia,
,,,,,,,Bapak dari bapak,,,,,,,Melayu,, ,Riau - Kota Pekanbaru,,Islam,,Indonesia,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Bali-Undiksha-December-2013,MEEENQ,0,Bali - Kabupaten Buleleng,Laki,Orang tua,,Ibu,Bali,Bali,Indonesia,Bali,Bali,Bali,,smp,Bali - Kabupaten Buleleng,#NAME?,,Hindu,1977,Bali,Indonesia
,,,,,,,Bapak,Bali,Bali,Indonesia,Bali,Bali,Bali,,SMA,Bali - Kabupaten Buleleng,#NAME?,,Hindu,1969,Bali,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
