session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
GZWPKN,1980,DKI Jakarta - Kota Administrasi Jakarta Selatan,Perempuan,orang tua,,,,,,,,,, , ,,,1954,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
KAWLNM,1986,Jawa Barat - Kota Bogor,Perempuan,Orang tua.,1-2,Bahasa Indonesia,Bahasa Surabaya,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Surabaya,,SMA,Jawa Timur - Kota Surabaya,Jawa Barat - Kota Bogor,Ibu rumah tangga,Kristen (Katolik),1963,Bahasa Surabaya,BAhasa SUnda,Bahasa Indonesia,BAhasa SUnda,BAhasa SUnda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,,SMA,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,Wiraswasta,Kristen (Katolik),1951,Bahasa Indonesia,,Bahasa Surabaya,Bahasa Surabaya,,Bahasa Surabaya,Bahasa Surabaya,Bahasa Surabaya,,,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,Ibu RUmah TAngga,Kristen (Protestan),1935,Bahasa Surabaya,,Bahasa Surabaya,Bahasa Surabaya,Bahasa Surabaya,Bahasa Surabaya,Bahasa Surabaya,Bahasa Surabaya,,,Jawa Timur - Kota Surabaya,Jawa Timur - Kota Surabaya,Pegawai kantor,Kristen (Katolik),1921,Bahasa Surabaya,,BAhasa SUnda,BAhasa SUnda,,BAhasa SUnda,BAhasa SUnda,BAhasa SUnda,,SD,Jawa Barat - Kabupaten Bogor,Jawa Barat - Kabupaten Bogor,Ibu rumah tangga,Konfusius,1920,BAhasa SUnda,,BAhasa SUnda,Bahasa CIna,,BAhasa SUnda,BAhasa SUnda,BAhasa SUnda,,,di luar Indonesia,Jawa Barat - Kabupaten Bogor,Wirausaha,Konfusius,1920,Bahasa CIna,
SXOPFX,1971,Jawa Barat - Kota Bandung,Laki,saya tumbuh dan besar bersama kedua orang tua dan empat orang kakak,lebih dari 24,sunda dialek priangan (bandung),sunda dialek sumedang,,sunda dialek ciamis,sunda dialek priangan (bandung),sunda dialek priangan (bandung),sunda,PGA,Jawa Barat - Kota Banjar,Jawa Barat - Kabupaten Ciamis,IRT,Islam,1940,sunda dialek sumedang,sunda dialek priangan (bandung),sunda dialek priangan (bandung),sunda dialek ciamis,sunda dialek priangan (bandung),sunda dialek ciamis,sunda dialek priangan (bandung),sunda dialek priangan (bandung),sunda,S1,Jawa Barat - Kota Tasikmalaya,Jawa Barat - Kabupaten Ciamis,PNS,Islam,1933,sunda dialek ciamis,sunda dialek priangan (bandung),,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
CJSYRU,, ,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
SWFRGI,1987,Jawa Barat - Kabupaten Garut,Laki,Keluarga,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
KTIWMA,1981,Jawa Tengah - Kota Surakarta,Laki,orang tua,6-12,bahasa indonesia,"bahasa jawa, bahasa madura",bahasa indonesia,bahasa indonesia,bahasa indonesia,"bahasa jawa, bahasa madura",madura,SMA,Jawa Timur - Kabupaten Pamekasan,DKI Jakarta - Kota Administrasi Jakarta Selatan,,Islam,1954,"bahasa jawa, bahasa madura",bahasa indonesia,bahasa indonesia,"bahasa jawa, bahasa madura",bahasa indonesia,bahasa indonesia,"bahasa jawa, bahasa madura","bahasa jawa, bahasa madura",jawa,SMA,Jawa Timur - Kota Surabaya,DKI Jakarta - Kota Administrasi Jakarta Selatan,karyawan swasta,Islam,1954,"bahasa jawa, bahasa madura",bahasa indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
LLCJRR,1991,Banten - Kota Tangerang,Laki,Orangtua,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
ITIHHY,1987,Jawa Timur - Kabupaten Nganjuk,Perempuan,Orangtua,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
UXWZPO,1982,Jambi - Kota Jambi,Laki,Dengan kakak dan adik.,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
LZKTRI,1988,Jawa Barat - Kota Bekasi,Perempuan,Nenek,3-5,Hakka,Hakka,Bahasa Indonesia,Bahasa Indonesia,Hakka,Hakka,Cina,SMA,Kalimantan Barat - Kota Singkawang,Riau - Kota Pekanbaru,Karyawan,Kristen (Protestan),1968,Hakka,Bahasa Indonesia,,,,,,,,, , ,,,,Hakka,Mandarin,Hakka,Hakka,Hakka,Bahasa Indonesia,Hakka,Hakka,Cina,SD,Kalimantan Barat - Kota Singkawang,Jawa Barat - Kota Bekasi,Mengurus Rumah Tangga,Kristen (Protestan),1945,Hakka,Mandarin,Hakka,Hakka,Hakka,Hakka,Hakka,Hakka,Cina,SMP,Kalimantan Barat - Kota Singkawang,Jawa Barat - Kota Bekasi,Karyawan,Buddha,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
CQYTJQ,1969,Nusa Tenggara Timur - Kabupaten Belu,Perempuan,orang tua,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
UYEYYD,1984,Nusa Tenggara Timur - Kabupaten Alor,Laki,Orangtua,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
QTJBLB,1959,Jawa Timur - Kabupaten Kediri,Perempuan,Orangtua,1-2,"Bahasa Indonesia, Bahasa Jawa",,,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Jawa,Jawa,SKP,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kota Surakarta,Ibu rumah tangga,Kristen (Katolik),1938,Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Jawa,Jawa,SMA,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kota Surakarta,Polisi,Islam,1930,Bahasa Jawa,Bahasa Indonesia,,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,SD,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kota Surakarta,Ibu rumah tangga dan pengusaha,Kristen (Katolik),,Bahasa Jawa,Bahasa Indonesia,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,SD,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kota Surakarta,Pengusaha,Islam,,Bahasa Jawa,Bahasa Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
IGXXXZ,1984,Nusa Tenggara Timur - Kabupaten Alor,Laki,Orangtua,lebih dari 24,,,,,,,ABUI,SD,Nusa Tenggara Timur - Kabupaten Alor,Nusa Tenggara Timur - Kabupaten Alor,TANI,Kristen (Protestan),1963,ABUI - TAKALELANG,ABUI - MUNUMAWATI,,,,,,,ABUI,SMP,Nusa Tenggara Timur - Kabupaten Alor,Nusa Tenggara Timur - Kabupaten Alor,TANI,Kristen (Katolik),1962,ABUI - TAKALELANG,ABUI - MAINANG,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
OSZPHF,1978,Jawa Barat - Kota Bogor,Perempuan,Ayah dan Ibu,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
KGMDTY,, ,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
VNCRNX,1992,DKI Jakarta - Kota Administrasi Jakarta Timur,Laki,Orang tua dan saudara kandung,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
MFQDRS,,Jambi - Kota Jambi,Perempuan,Orang tua,3-5,Jambi,Batak,,Jambi,Batak,Batak,Batak,D3,Sumatera Utara - Kota Medan,Jambi - Kota Jambi,Rumah tangga,Islam,1964,Batak,Indonesia,Jambi,Batak,Kantor camat/Pensiun (-),Jambi,Batak,Batak,Batak,SMA,Sumatera Utara - Kota Medan,Jambi - Kota Jambi,Pensiunan PNS,Islam,1954,Batak,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
NUOLXJ,1990,#NAME?,Laki,Orang tua,,Jambi,Padang,Indonesia,Jambi,Jambi,"Padang, Jambi",Padang,s1,Jambi - Kota Jambi,Jambi - Kota Jambi,,Islam,1963,Padang,Jambi,Jambi,Jambi seberang,Indonesia,Jambi,Jambi,Jambi seberang,Jambi Seberang,s1,Jambi - Kota Jambi,Jambi - Kota Jambi,,Islam,1958,Jambi seberang,Indonesia,Jambi,Padang,,Jambi,Padang,Padang,Padang,,Sumatera Barat - Kota Padang,Jambi - Kota Jambi,,Islam,,Padang,Jambi,Padang,Padang,Indonesia,Jambi,Padang,Padang,Padang,,Sumatera Selatan - Kota Palembang,Jambi - Kota Jambi,Guru,Islam,,Padang,Jambi,,Jambi,,Jambi,,Jambi,Jambi,,Jambi - Kota Jambi,Jambi - Kota Jambi,,Islam,,Jambi,,,Jambi,,Jambi,,Jambi,Jambi,,Jambi - Kota Jambi,Jambi - Kota Jambi,Wiraswasta,Islam,,Jambi,
OHMNAN,1994,Jambi - Kota Jambi,Perempuan,Orang tua,lebih dari 24,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,Melayu Jambi,,Jambi - Kota Jambi,Jambi - Kota Jambi,,Islam,,Jambi,Jambi,Jambi,Padang,Jambi,Indonesia,Jambi,Padang,Padang,,Sumatera Barat - Kota Padang,Jambi - Kota Jambi,,Islam,,Jambi,Padang,Melayu,Melayu,,Melayu,Melayu,Melayu,Melayu Jambi,,Jambi - Kota Jambi,Jambi - Kota Jambi,Petani,Islam,1927,Melayu Jambi,,Melayu,Melayu,,Melayu,Melayu,Melayu,Melayu Jambi,,Jambi - Kota Jambi,Jambi - Kota Jambi,Petani,Islam,1917,Melayu,,Padang,Padang,,Padang,Padang,Padang,Padang,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,Petani,Islam,1933,Padang,,Padang,Padang,,Padang,Padang,Padang,Padang,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,Petani,Islam,1930,Padang,
BPTQVJ,1993,Jambi - Kabupaten Muaro Jambi,Perempuan,Orang tua,3-5,Minang,Minang,Jambi,Jambi,Jambi,Minang,Sikumbang/ Minangkabau,SMA,Sumatera Barat - Kota Padang,Jambi - Ma. Jambi,IRT,Islam,1970,Minang,,Kerinci,Kerinci,Jambi,Jambi,Jambi,Kerinci,Kerinci,S1,Jambi - Kabupaten Kerinci,Jambi - Kab. Ma. Jambi,Pegawai Swasta,Islam,1965,Kerinci/ Pulau Tengah,,Minang,Minang,Minang,Minang,Minang,Minang,Sikumbang,,Sumatera Barat,Sumatera Barat,IRT,Islam,1950,Minang,,Minang,Minang,Minang,Minang,Minang,Minang,Sikumbang,,Sumatera Barat,Sumatera Barat,supir,Islam,1950,Kerinci,,Kerinci,Kerinci,Kerinci,Kerinci,Kerinci,Kerinci,Kerinci,,Jambi - Kabupaten Kerinci,Jambi - Kabupaten Kerinci,IRT,Islam,1950,,,Kerinci,Kerinci,Kerinci,Kerinci,Kerinci,Kerinci,Kerinci,,Jambi - Kabupaten Kerinci,Jambi - Kabupaten Kerinci,Petani,Islam,1950,,
YOTKIH,1995,Jambi - Kabupaten Sarolangun,Perempuan,saudara/kakak,6-12,Bahasa Daerah (Sarolangun),Bengkulu,Indonesia,Bahasa Daerah (Sarolangun),Bahasa Daerah (Sarolangun),Bahasa Daerah (Sarolangun),,MA,Bengkulu,Jambi - Kabupaten Sarolangun,Ibu rumah tangga,Islam,1972,Bengkulu,Indonesia,Bahasa Daerah (Sarolangun),Bahasa Daerah (Sarolangun),Indonesia,Bahasa Daerah (Sarolangun),Bahasa Daerah (Sarolangun),Bahasa Daerah (Sarolangun),,SPG,Jambi,Jambi - Kabupaten Sarolangun,Wira swasta,Islam,1967,Bahasa Daerah (Sarolangun),Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
HAVUGI,1995,Jambi,Perempuan,Orangtua,3-5,Jambi,"Padang, Jambi",Jambi,Jambi,Jambi,Jambi,Padang,SMA,Jambi,Jambi,IRT,Islam,1970,Indonesia,"Padang, Jambi",Jambi,"Jawa, Jambi",Jambi,Jambi,Jambi,Jambi,Jawa,SMA,Jambi,Jambi,Karyawan Swasta,Islam,1970,Indonesia,"Jawa, Jambi",Jambi,Padang,,Jambi,Padang,Padang,Minang,SD,Sumatera Barat - Kota Padang,Jambi,Pedagang,Islam,1943,Minang,Jambi,Jambi,Padang,,Jambi,Padang,Padang,Minang,,Sumatera Barat - Kota Padang,Jambi,KULI,Islam,1943,Minang,Jambi,Jawa,Jawa,,Jambi,Jambi,Jawa,Jawa,,#NAME?,Jambi,,Islam,1943,Jawa,Jambi,Jawa,Jawa,,Jambi,Jambi,Jawa,Jawa,,#NAME?,Jambi,,Islam,1943,Jawa,Jambi
JROEGM,1995,Jambi,Perempuan,Mama angkat,12-24,Melayu,Indonesia,Indonesia,Indonesia,Melayu,Indonesia,,SMEA,#NAME?,#NAME?,IRT,Islam,1969,Indonesia,"Melayu, Jawa",Melayu,Indonesia,Indonesia,Indonesia,Melayu,Indonesia,,SGO,#NAME?,#NAME?,Wiraswasta,Islam,1970,Indonesia,Melayu,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
JZRBIK,1995,Jambi - Kabupaten Tanjung Jabung Timur,Perempuan,Orang tua,lebih dari 24,Batak,Batak,"Indonesia, Melayu",Melayu,Batak,Batak,Batak,S1,Sumatera Utara - Kota Medan,Jambi,Guru/PNS,Islam,1963,Batak,Indonesia,Batak,Batak,"Indonesia, Melayu",Melayu,Batak,Batak,Batak,SMA,Sumatera Utara - Kota Medan,Jambi,Wiraswasta,Islam,1953,Batak,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
FDPGUQ,1994,Jambi - Kota Jambi,Perempuan,Orang tua,6-12,Jambi,Jambi,,Jambi,Jambi,Jambi,Jambi,SMA,Jambi,Jambi,,Islam,1973,Jambi,Indonesia,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,SMA,Jambi,Jambi,,Islam,1963,Jambi,Indonesia,,,,,,,,, , ,,,,Jawa,Jambi,Jambi,,,Jawa,Jambi,Jambi,,,Jambi,Jambi - Kabupaten Batanghari,,Islam,1945,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
LMMWRS,1995,Jambi - Kabupaten Tebo,Perempuan,Orangtua,lebih dari 24,,,,,,,,SD,Jambi - Kabupaten Tebo, ,Petani,Islam,1977,Jawa,,,,,,,,,SD,Jambi - Kabupaten Tebo, ,Petani,Islam,1976,Jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
PQAXZC,1994,Jambi - Muara Bungo,Perempuan,Orangtua,,Melayu,Melayu,Melayu,Melayu,Melayu,Melayu,,SMP,#NAME?,#NAME?,Petani,Islam,1973,Melayu,Daerah,Melayu,Melayu,Indonesia,Melayu,Melayu,Melayu,,S1,#NAME?,#NAME?,PNS,Islam,1966,"Melayu, daerah",Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
BIJMRG,1995,Jambi - Kabupaten Batanghari,Perempuan,Orangtua,6-12,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,,SMP,Jambi - Kabupaten Batanghari, ,Wiraswasta,Islam,1978,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,SMA,Jambi - Kabupaten Batanghari, ,Petani,Islam,1972,Jambi,Jambi,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
FVIJIF,1995,Jambi - Kabupaten Bungo,Perempuan,Orang tua,lebih dari 24,bungo,Minang,Guru SMK N 2 M.Bungo,bungo,bungo,Minang,Simabua (sk Minang) ,s1,Sumatera Barat - Kota Bukittinggi,Jambi - Ma. Bungo,PNS (guru),Islam,1966,Minang,"Bungo, Indonesia",bungo,bahasa Sungai abang,STM Bungo,bungo,bungo,bungo,,S1,#NAME?,Jambi - Ma. Bungo,Kepala sekolah (swasta),Islam,1967,bungo,Indonesia,Minang,Minang,,Minang,,Minang,Simabua (sk Minang) ,,Sumatera Barat - Kota Bukittinggi,Sumatera Barat - Kota Bukittinggi,,Islam,,Minang,,,Minang,,,,,,,Sumatera Barat - Kota Bukittinggi, ,Pedagang,Islam,,Minang,,bahasa Sungai abang,bahasa Sungai abang,,b. daerah,,b. daerah,,,#NAME?,#NAME?,IRT,Islam,,b. daerah,,,bahasa Sungai abang,,,,,,,#NAME?, ,Kepala sekolah,Islam,,b. daerah,
OAPIRD,1992,Jambi - Kabupaten Muaro Jambi,Perempuan,Orang tua,1-2,"Minang, Jambi","Minang, padang",Indonesia,"Minang, Jambi",Minang,Minang,Piliang,S1,Sumatera Barat,Jambi,Guru,Islam,1962,"Padang, Minang",Jambi,"Minang, Jambi",Minang,Indonesia,"Minang, Jambi",Minang,Minang,,s2,Sumatera Barat,Sulawesi Tenggara - Kabupaten Kolaka,dosen,Islam,1959,"Padang, Minang",Jambi,Minang,Minang,"Minang, Indonesia",Minang,Minang,Minang,Piliang,PGRI,Sumatera Barat,Sumatera Barat,Guru,Islam,,Minang,"Minang, Indonesia",Minang,Minang,"Minang, Indonesia",Minang,Minang,Minang,,,Sumatera Barat,Sumatera Barat,guru,Islam,,Minang,Minang,Minang,Minang,Minang,Minang,Minang,Minang,,,Sumatera Barat,Sumatera Barat,Petani,Islam,,Minang,Minang,Minang,Minang,Minang,Minang,Minang,Minang,,,Sumatera Barat,Sumatera Barat,petani,Islam,,Minang,Minang
LLJJJJ,1995,Jambi - Kota Jambi,Perempuan,Orangtua,3-5,Indonesia,,,Jambi,Jambi,Indonesia,Batak,SMA,Sumatera Utara - Kota Medan,Jambi,,Islam,1968,Indonesia,Jambi,Jambi,,Indonesia,Jambi,Jambi,Jambi,Melayu,SMA,Jambi,Jambi,Swasta,Islam,1958,Jambi,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Batak,,Sumatera Utara - Kota Medan,Sumatera Utara - Kota Medan,,Islam,,Indonesia,Batak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Batak,,Sumatera Utara - Kota Medan,Sumatera Utara - Kota Medan,,Islam,,Indonesia,Batak,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,Melayu,,Jambi,Jambi,,Islam,,Jambi,Indonesia,Jambi,Jambi,Jambi,Jambi,Jambi,Jambi,Melayu,,Jambi,Jambi,,Islam,,Jambi,Indonesia
UQBWIX,1995,Jambi - Kotamadya,Perempuan,Orangtua,3-5,Jambi,Bugis,Indonesia,Jambi,Jambi,Jambi,Bugis,MTS,Jambi,Jambi,Wiraswasta,Islam,1974,Bugis,Jambi,Jambi,Bugis,Indonesia,Jambi,Jambi,Jambi,Bugis,SMA,Jambi,Jambi,Petani,Islam,1969,Bugis,Jambi,Jambi,Bugis,Jambi,Jambi,Bugis,Jambi,Bugis,,Jambi,Jambi,Penjahit,Islam,,Bugis,Jambi,,Bugis,Jambi,Jambi,Bugis,Jambi,Bugis,,Jambi,Jambi,Petani,Islam,,Bugis,Jambi,,Bugis,Jambi,Jambi,Bugis,Jambi,Bugis,,Jambi,Jambi,Petani,Islam,,Bugis,Jambi,Bugis,Bugis,Jambi,Jambi,Bugis,Jambi,Bugis,,Jambi,Jambi,Petani,Islam,,Bugis,Jambi
NCLKNJ,1994,Jambi - Tungkai Ulu,Laki,Orang tua,1-2,Jambi,Minang,,Jambi,Kerinci,"Kerinci, minang",Minang,SMA,Sumatera Barat - Kota Padang,Jambi,guru,Islam,,Minang,Jambi,Jambi,Jambi,"LPPI, Sinar Mas",Jambi,Kerinci,Kerinci,Melayu,SMA,Jambi - Kabupaten Kerinci,Jambi,Swasta,Islam,,Kerinci,Jambi,Minang,Minang,,,Minang,Minang,Minang,,#NAME?,Sumatera Barat - Kota Padang,,Islam,,Minang,,Minang,Minang,,,Minang,Minang,Minang,,#NAME?,Sumatera Barat - Kota Padang,,Islam,,Minang,,Kerinci,Kerinci,,,Kerinci,Kerinci,Kerinci,,Jambi - Kabupaten Kerinci,Jambi - Kabupaten Kerinci,,Islam,,Kerinci,,Kerinci,Kerinci,,,Kerinci,Kerinci,Kerinci,,Jambi - Kabupaten Kerinci,Jambi - Kabupaten Kerinci,,Islam,,Kerinci,
RXGDAA,1995,Jambi - Kabupaten Tebo,Laki,Orang tua dan kakak,12-24,Jambi,Daerah,"Daerah, Indonesia",Daerah,Daerah,Daerah,"Melayu,, Minang",S1,"Jambi - Muara Tebo, Bungo",Jambi - Kabupaten Tebo,guru PNS,Islam,1964,"Daerah, Indonesia",Indonesia,"daerah Jambi, tebo",Daerah,"Daerah, Indonesia",Daerah,"daerah Jambi, tebo",Daerah,Sunda,SMU,#NAME?,Jambi - Kabupaten Tebo,WIraswasta,Islam,1960,"Daerah, Indonesia",Indonesia,,,,Daerah,Daerah,Daerah,Minang,, ,#NAME?,PNS,Islam,,Daerah,Indonesia,,,,Daerah,Daerah,Daerah,Minang,, ,#NAME?,PNS,Islam,,Daerah,Indonesia,,,,Daerah,Daerah,Daerah,Sunda,, ,#NAME?,Wiraswasta,Islam,,Daerah,,,,,Daerah,Daerah,Daerah,"Sunda, Minang",, , ,Swasta,Islam,,Daerah,
KHCHVT,1991,DKI Jakarta - Jakarta,Perempuan,Orangtua,1-2,Indonesia,Jawa,Indonesia,Indonesia,Indonesia,Jawa,Jawa,SMA,DKI Jakarta - Jakarta,DKI Jakarta - Jakarta,,Kristen (Protestan),,Jawa,Indonesia,Indonesia,Batak,Indonesia,Indonesia,Indonesia,Indonesia,Batak,SMA,Sumatera Utara,Sumatera Utara,Petani,Kristen (Protestan),,Batak,Indonesia,Jawa,Jawa,Indonesia,Indonesia,Jawa,Jawa,Jawa,,Jawa Tengah - Purwokerto,DKI Jakarta - Jakarta,,Islam,,Jawa,Indonesia,Jawa,Jawa,Indonesia,Indonesia,Jawa,Jawa,Jawa,,Jawa Tengah - Purwokerto,DKI Jakarta - Jakarta,,Islam,,Jawa,Indonesia,Batak,Batak,Indonesia,Indonesia,Batak,Batak,Batak,,#NAME?,#NAME?,,Kristen (Protestan),,Batak,Indonesia,Batak,Batak,Indonesia,Indonesia,Batak,Batak,Batak,,#NAME?,#NAME?,,Kristen (Protestan),,Batak,Indonesia
KLEUSP,1996,Bali - Kabupaten Jembrana,Perempuan,Orang tua,3-5,"Bahasa daerah, Indonesia","Bahasa daerah, Indonesia","Bahasa daerah, Indonesia","Bali, Indonesia","Bahasa daerah, Indonesia","Bahasa daerah, Indonesia",HIndu,S1,Bali - Kabupaten Jembrana,#NAME?,Wiraswasta,Hindu,1972,Bahasa Daerah,Indonesia,"Bali, Indonesia","Bali, Indonesia","Bali, Indonesia","Bali, Indonesia","Bali, Indonesia","Bali, Indonesia",HIndu,S1,Bali - Kabupaten Jembrana,#NAME?,PNS,Hindu,1966,Bahasa Daerah,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
