	speaker	question	answer
711	zuwais	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
712	zuwais	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
713	zuwais	berbicara dalam  daerah anda itu kuno	-2
714	zuwais	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
715	zuwais	menguasai  indonesia resmi bagi anda itu penting	2
716	zuwais	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
717	zuwais	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
718	zuwais	menguasai  inggris bagi anda itu penting	2
719	zuwais	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
720	zuwais	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
721	zuwais	menguasai  asing selain  inggris itu penting	1
722	xcsixi	menguasai  orang tua anda itu penting	2
723	xcsixi	menguasai  daerah asal (setempat) anda itu penting	2
724	xcsixi	anak-anak anda perlu menguasai  pertama anda	2
725	xcsixi	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	2
726	xcsixi	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
727	xcsixi	berbicara dalam  daerah anda itu kuno	-2
728	xcsixi	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
729	xcsixi	menguasai  indonesia resmi bagi anda itu penting	2
730	xcsixi	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
731	xcsixi	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
732	xcsixi	menguasai  inggris bagi anda itu penting	1
733	xcsixi	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
734	xcsixi	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
735	xcsixi	menguasai  asing selain  inggris itu penting	2
736	oovpzc	menguasai  orang tua anda itu penting	2
737	oovpzc	menguasai  daerah asal (setempat) anda itu penting	2
738	oovpzc	anak-anak anda perlu menguasai  pertama anda	2
739	oovpzc	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	2
740	oovpzc	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
741	oovpzc	berbicara dalam  daerah anda itu kuno	-2
742	oovpzc	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
743	oovpzc	menguasai  indonesia resmi bagi anda itu penting	2
744	oovpzc	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
745	oovpzc	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
746	oovpzc	menguasai  inggris bagi anda itu penting	2
747	oovpzc	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
748	oovpzc	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
749	oovpzc	menguasai  asing selain  inggris itu penting	2
750	gowzbp	menguasai  orang tua anda itu penting	2
751	gowzbp	menguasai  daerah asal (setempat) anda itu penting	2
752	gowzbp	anak-anak anda perlu menguasai  pertama anda	2
753	gowzbp	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
754	gowzbp	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
755	gowzbp	berbicara dalam  daerah anda itu kuno	-2
756	gowzbp	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
757	gowzbp	menguasai  indonesia resmi bagi anda itu penting	2
758	gowzbp	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	-1
759	gowzbp	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
760	gowzbp	menguasai  inggris bagi anda itu penting	1
761	gowzbp	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	0
762	gowzbp	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	0
763	gowzbp	menguasai  asing selain  inggris itu penting	0
764	gyrozg	menguasai  orang tua anda itu penting	2
765	gyrozg	menguasai  daerah asal (setempat) anda itu penting	1
766	gyrozg	anak-anak anda perlu menguasai  pertama anda	-1
767	gyrozg	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
768	gyrozg	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
769	gyrozg	berbicara dalam  daerah anda itu kuno	-2
770	gyrozg	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	-2
771	gyrozg	menguasai  indonesia resmi bagi anda itu penting	2
772	gyrozg	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
773	gyrozg	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
774	gyrozg	menguasai  inggris bagi anda itu penting	2
775	gyrozg	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
776	gyrozg	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
777	gyrozg	menguasai  asing selain  inggris itu penting	1
778	kcbykl	menguasai  orang tua anda itu penting	1
779	kcbykl	menguasai  daerah asal (setempat) anda itu penting	2
780	kcbykl	anak-anak anda perlu menguasai  pertama anda	1
781	kcbykl	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
782	kcbykl	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
783	kcbykl	berbicara dalam  daerah anda itu kuno	-1
784	kcbykl	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
785	kcbykl	menguasai  indonesia resmi bagi anda itu penting	2
786	kcbykl	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
787	kcbykl	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
788	kcbykl	menguasai  inggris bagi anda itu penting	2
789	kcbykl	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
790	kcbykl	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
791	kcbykl	menguasai  asing selain  inggris itu penting	1
792	gaklxb	menguasai  orang tua anda itu penting	1
793	gaklxb	menguasai  daerah asal (setempat) anda itu penting	1
794	gaklxb	anak-anak anda perlu menguasai  pertama anda	1
795	gaklxb	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
796	gaklxb	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
797	gaklxb	berbicara dalam  daerah anda itu kuno	-1
798	gaklxb	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	-2
799	gaklxb	menguasai  indonesia resmi bagi anda itu penting	1
800	gaklxb	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	0
801	gaklxb	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
802	gaklxb	menguasai  inggris bagi anda itu penting	1
803	gaklxb	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
804	gaklxb	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
805	gaklxb	menguasai  asing selain  inggris itu penting	1
806	quivqy	menguasai  orang tua anda itu penting	2
807	quivqy	menguasai  daerah asal (setempat) anda itu penting	2
808	quivqy	anak-anak anda perlu menguasai  pertama anda	1
809	quivqy	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
810	quivqy	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
811	quivqy	berbicara dalam  daerah anda itu kuno	-2
812	quivqy	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
813	quivqy	menguasai  indonesia resmi bagi anda itu penting	1
814	quivqy	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
815	quivqy	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
816	quivqy	menguasai  inggris bagi anda itu penting	2
817	quivqy	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
818	quivqy	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
819	quivqy	menguasai  asing selain  inggris itu penting	1
820	umojts	menguasai  orang tua anda itu penting	1
821	umojts	menguasai  daerah asal (setempat) anda itu penting	1
822	umojts	anak-anak anda perlu menguasai  pertama anda	1
823	umojts	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
824	umojts	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	2
825	umojts	berbicara dalam  daerah anda itu kuno	-2
826	umojts	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
827	umojts	menguasai  indonesia resmi bagi anda itu penting	1
828	umojts	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
829	umojts	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
830	umojts	menguasai  inggris bagi anda itu penting	1
831	umojts	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
832	umojts	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
833	umojts	menguasai  asing selain  inggris itu penting	1
834	vhqyou	menguasai  orang tua anda itu penting	2
835	vhqyou	menguasai  daerah asal (setempat) anda itu penting	2
836	vhqyou	anak-anak anda perlu menguasai  pertama anda	0
837	vhqyou	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
838	vhqyou	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
839	vhqyou	berbicara dalam  daerah anda itu kuno	2
840	vhqyou	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
841	vhqyou	menguasai  indonesia resmi bagi anda itu penting	2
842	vhqyou	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
843	vhqyou	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
844	vhqyou	menguasai  inggris bagi anda itu penting	2
845	vhqyou	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
846	vhqyou	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
847	vhqyou	menguasai  asing selain  inggris itu penting	2
848	dkpjyp	menguasai  orang tua anda itu penting	2
849	dkpjyp	menguasai  daerah asal (setempat) anda itu penting	2
850	dkpjyp	anak-anak anda perlu menguasai  pertama anda	1
851	dkpjyp	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
852	dkpjyp	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
853	dkpjyp	berbicara dalam  daerah anda itu kuno	-1
854	dkpjyp	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
855	dkpjyp	menguasai  indonesia resmi bagi anda itu penting	2
856	dkpjyp	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
857	dkpjyp	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
858	dkpjyp	menguasai  inggris bagi anda itu penting	1
859	dkpjyp	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
860	dkpjyp	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
861	dkpjyp	menguasai  asing selain  inggris itu penting	1
862	tjxpqu	menguasai  orang tua anda itu penting	2
863	tjxpqu	menguasai  daerah asal (setempat) anda itu penting	2
864	tjxpqu	anak-anak anda perlu menguasai  pertama anda	1
865	tjxpqu	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
866	tjxpqu	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
867	tjxpqu	berbicara dalam  daerah anda itu kuno	1
868	tjxpqu	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
869	tjxpqu	menguasai  indonesia resmi bagi anda itu penting	1
870	tjxpqu	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
871	tjxpqu	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
872	tjxpqu	menguasai  inggris bagi anda itu penting	1
873	tjxpqu	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
874	tjxpqu	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
875	tjxpqu	menguasai  asing selain  inggris itu penting	1
876	ppufzj	menguasai  orang tua anda itu penting	2
877	ppufzj	menguasai  daerah asal (setempat) anda itu penting	2
878	ppufzj	anak-anak anda perlu menguasai  pertama anda	2
879	ppufzj	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
880	ppufzj	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
881	ppufzj	berbicara dalam  daerah anda itu kuno	-1
882	ppufzj	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
883	ppufzj	menguasai  indonesia resmi bagi anda itu penting	1
884	ppufzj	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
885	ppufzj	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
886	ppufzj	menguasai  inggris bagi anda itu penting	2
887	ppufzj	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
888	ppufzj	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
889	ppufzj	menguasai  asing selain  inggris itu penting	1
890	hnrlwv	menguasai  orang tua anda itu penting	2
891	hnrlwv	menguasai  daerah asal (setempat) anda itu penting	1
892	hnrlwv	anak-anak anda perlu menguasai  pertama anda	2
893	hnrlwv	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
894	hnrlwv	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
895	hnrlwv	berbicara dalam  daerah anda itu kuno	-2
896	hnrlwv	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
897	hnrlwv	menguasai  indonesia resmi bagi anda itu penting	2
898	hnrlwv	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
899	hnrlwv	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
900	hnrlwv	menguasai  inggris bagi anda itu penting	2
901	hnrlwv	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
902	hnrlwv	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
903	hnrlwv	menguasai  asing selain  inggris itu penting	1
904	qqlrth	menguasai  orang tua anda itu penting	0
905	qqlrth	menguasai  daerah asal (setempat) anda itu penting	2
906	qqlrth	anak-anak anda perlu menguasai  pertama anda	0
907	qqlrth	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
908	qqlrth	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
909	qqlrth	berbicara dalam  daerah anda itu kuno	0
910	qqlrth	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
911	qqlrth	menguasai  indonesia resmi bagi anda itu penting	2
912	qqlrth	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
913	qqlrth	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	0
914	qqlrth	menguasai  inggris bagi anda itu penting	2
915	qqlrth	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
916	qqlrth	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
917	qqlrth	menguasai  asing selain  inggris itu penting	0
918	wetmod	menguasai  orang tua anda itu penting	2
919	wetmod	menguasai  daerah asal (setempat) anda itu penting	2
920	wetmod	anak-anak anda perlu menguasai  pertama anda	1
921	wetmod	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
922	wetmod	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
923	wetmod	berbicara dalam  daerah anda itu kuno	-1
924	wetmod	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
925	wetmod	menguasai  indonesia resmi bagi anda itu penting	1
926	wetmod	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
927	wetmod	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
928	wetmod	menguasai  inggris bagi anda itu penting	1
929	wetmod	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	0
930	wetmod	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
931	wetmod	menguasai  asing selain  inggris itu penting	1
932	ocxgmc	menguasai  orang tua anda itu penting	2
933	ocxgmc	menguasai  daerah asal (setempat) anda itu penting	1
934	ocxgmc	anak-anak anda perlu menguasai  pertama anda	2
935	ocxgmc	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	2
936	ocxgmc	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-2
937	ocxgmc	berbicara dalam  daerah anda itu kuno	1
938	ocxgmc	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
939	ocxgmc	menguasai  indonesia resmi bagi anda itu penting	2
940	ocxgmc	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
941	ocxgmc	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
942	ocxgmc	menguasai  inggris bagi anda itu penting	2
943	ocxgmc	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
944	ocxgmc	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
945	ocxgmc	menguasai  asing selain  inggris itu penting	1
946	gpbfuk	menguasai  orang tua anda itu penting	1
947	gpbfuk	menguasai  daerah asal (setempat) anda itu penting	1
948	gpbfuk	anak-anak anda perlu menguasai  pertama anda	1
949	gpbfuk	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
950	gpbfuk	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
951	gpbfuk	berbicara dalam  daerah anda itu kuno	-1
952	gpbfuk	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
953	gpbfuk	menguasai  indonesia resmi bagi anda itu penting	1
954	gpbfuk	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	0
955	gpbfuk	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	0
956	gpbfuk	menguasai  inggris bagi anda itu penting	1
957	gpbfuk	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	0
958	gpbfuk	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
959	gpbfuk	menguasai  asing selain  inggris itu penting	0
960	lzjeed	menguasai  orang tua anda itu penting	0
961	lzjeed	menguasai  daerah asal (setempat) anda itu penting	1
962	lzjeed	anak-anak anda perlu menguasai  pertama anda	1
963	lzjeed	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
964	lzjeed	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
965	lzjeed	berbicara dalam  daerah anda itu kuno	-1
966	lzjeed	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
967	lzjeed	menguasai  indonesia resmi bagi anda itu penting	1
968	lzjeed	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
969	lzjeed	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
970	lzjeed	menguasai  inggris bagi anda itu penting	2
971	lzjeed	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
972	lzjeed	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
973	lzjeed	menguasai  asing selain  inggris itu penting	0
974	qvzcju	menguasai  orang tua anda itu penting	2
975	qvzcju	menguasai  daerah asal (setempat) anda itu penting	2
976	qvzcju	anak-anak anda perlu menguasai  pertama anda	2
977	qvzcju	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	2
978	qvzcju	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
979	qvzcju	berbicara dalam  daerah anda itu kuno	-2
980	qvzcju	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
981	qvzcju	menguasai  indonesia resmi bagi anda itu penting	2
982	qvzcju	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
983	qvzcju	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
984	qvzcju	menguasai  inggris bagi anda itu penting	2
985	qvzcju	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	0
986	qvzcju	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	0
987	qvzcju	menguasai  asing selain  inggris itu penting	0
988	jwiccr	menguasai  orang tua anda itu penting	1
989	jwiccr	menguasai  daerah asal (setempat) anda itu penting	1
990	jwiccr	anak-anak anda perlu menguasai  pertama anda	1
991	jwiccr	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
992	jwiccr	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
993	jwiccr	berbicara dalam  daerah anda itu kuno	-2
994	jwiccr	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
995	jwiccr	menguasai  indonesia resmi bagi anda itu penting	2
996	jwiccr	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
997	jwiccr	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
998	jwiccr	menguasai  inggris bagi anda itu penting	1
999	jwiccr	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	0
1000	jwiccr	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
1001	jwiccr	menguasai  asing selain  inggris itu penting	1
1002	ezmsgc	menguasai  orang tua anda itu penting	2
1003	ezmsgc	menguasai  daerah asal (setempat) anda itu penting	2
1004	ezmsgc	anak-anak anda perlu menguasai  pertama anda	2
1005	ezmsgc	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
1006	ezmsgc	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
1007	ezmsgc	berbicara dalam  daerah anda itu kuno	-2
1008	ezmsgc	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
1009	ezmsgc	menguasai  indonesia resmi bagi anda itu penting	2
1010	ezmsgc	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
1011	ezmsgc	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
1012	ezmsgc	menguasai  inggris bagi anda itu penting	2
1013	ezmsgc	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
1014	ezmsgc	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
1015	ezmsgc	menguasai  asing selain  inggris itu penting	2
1016	dfbdcn	menguasai  orang tua anda itu penting	2
1017	dfbdcn	menguasai  orang tua anda itu penting	2
1018	dfbdcn	menguasai  daerah asal (setempat) anda itu penting	2
1019	dfbdcn	anak-anak anda perlu menguasai  pertama anda	2
1020	dfbdcn	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
1021	dfbdcn	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	2
1022	dfbdcn	berbicara dalam  daerah anda itu kuno	-2
1023	dfbdcn	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
1024	dfbdcn	menguasai  indonesia resmi bagi anda itu penting	2
1025	dfbdcn	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
1026	dfbdcn	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
1027	dfbdcn	menguasai  inggris bagi anda itu penting	2
1028	dfbdcn	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
1029	dfbdcn	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
1030	dfbdcn	menguasai  asing selain  inggris itu penting	2
1031	rjaplo	menguasai  orang tua anda itu penting	2
1032	rjaplo	menguasai  daerah asal (setempat) anda itu penting	2
1033	rjaplo	anak-anak anda perlu menguasai  pertama anda	2
1034	rjaplo	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	2
1035	rjaplo	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	2
1036	rjaplo	berbicara dalam  daerah anda itu kuno	-1
1037	rjaplo	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	-1
1038	rjaplo	menguasai  indonesia resmi bagi anda itu penting	2
1039	rjaplo	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
1040	rjaplo	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
1041	rjaplo	menguasai  inggris bagi anda itu penting	1
1042	rjaplo	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	0
1043	rjaplo	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
1044	rjaplo	menguasai  asing selain  inggris itu penting	0
1045	bpkgyw	menguasai  orang tua anda itu penting	2
1046	bpkgyw	menguasai  daerah asal (setempat) anda itu penting	2
1047	bpkgyw	anak-anak anda perlu menguasai  pertama anda	2
1048	bpkgyw	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	2
1049	bpkgyw	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	2
1050	bpkgyw	berbicara dalam  daerah anda itu kuno	-2
1051	bpkgyw	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
1052	bpkgyw	menguasai  indonesia resmi bagi anda itu penting	1
1053	bpkgyw	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	0
