Comments_Page1,Session_token,Person_ID,Year_of_birth,Location_grew_up,Sex,Lived_with_who_when_growing_up,Comments_page5,z_calc_Button_label_locations_list,z_calc_Count_other_people,kinships::z_calc_Beliau_label,kinships::z_calc_Where_label,kinships::z_calc_With_who_label,other_people::Ethnicity,other_people::Kinship_type,other_people::Language_used_at_home_now,other_people::Language_used_at_home_when_young,other_people::Language_used_at_home_at_workplace,other_people::Language_used_at_home_with_neighbours,other_people::Language_used_at_home_with_partner,other_people::Language_used_at_home_with_relatives,other_people::Last_level_of_education,other_people::Location_grewup,other_people::Location_of_home,other_people::Profession,other_people::Religion,other_people::Year_of_birth,other_peoples_languages_FirstLanguage::Language_name,other_peoples_languages_OtherLanguages::Language_name
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Minang,Ibu dari ibu,,,,,,,, ,Sumatera Barat - Kota Padang,,Islam,,Bahasa Padang,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Minang,Bapak dari ibu,,,,,,,,Sumatera Barat - Balingka,Sumatera Barat - Kota Bukittinggi,,Islam,,Bahasa Padang,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Minang,Ibu dari bapak,,,,,,,,Sumatera Barat - Kota Padang,DKI Jakarta,,Islam,,Bahasa Padang,"Bahasa Indonesia, Bahasa Belanda"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Minang,Bapak dari bapak,,,,,,,, ,Sumatera Barat - Kota Bukittinggi,,Islam,,Bahasa Padang,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
7 Dec UN #24,DWTZRZ,1.30405E+23,55, ,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu,"Bahasa Indonesia, Bahasa Sunda, Bahasa Belanda","Bahasa Sunda, Bahasa Belanda",,Bahasa Indonesia,Bahasa Belanda,"Bahasa Sunda, Bahasa Belanda",SMA/HIS,Jawa Barat - Kota Bandung,#NAME?,ibu rumah tangga,Islam,1930,"Bahasa Sunda, Bahasa Belanda",Bahasa Belanda
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak,"Bahasa Indonesia, Bahasa Sunda, Bahasa Belanda",Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Sunda, Bahasa Belanda","Bahasa Sunda, Bahasa Belanda",dokter gigi,Jawa Barat - Kabupaten Ciamis,#NAME?,dokter gigi,Islam,1926,Bahasa Sunda,Bahasa Belanda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu dari ibu,"Bahasa Sunda, Bahasa Belanda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,SMP,Jawa Barat - Kabupaten Sumedang,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Belanda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak dari ibu,"Bahasa Sunda, Bahasa Belanda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,dokter,Jawa Barat - Kabupaten Tasikmalaya,Jawa Barat - Kota Bandung,dokter,Islam,,Bahasa Sunda,Bahasa Belanda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Jawa Barat - Kabupaten Ciamis,Jawa Barat - Kabupaten Ciamis,ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Belanda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Jawa Barat - Kabupaten Ciamis,Jawa Barat - Kabupaten Ciamis,guru,Islam,,Bahasa Sunda,Bahasa Belanda
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,Sunda,Istri/Suami,Bahasa Sunda,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Sunda,Sarjana S1,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,wiraswasta,Islam,55,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
7 Dec UN #25,ZLYHLS,1.30405E+23,48, ,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,Bahasa Padang,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,Bahasa Padang,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Padang,Ibu dari ibu,Bahasa Indonesia,Bahasa Padang,,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Padang, Bahasa Palembang",SMP,Sumatera Barat - Kambang, ,ibu rumah tangga,Islam,1948,"Bahasa Padang, Bahasa Palembang","Bahasa Indonesia, Bahasa Palembang"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Padang,Bapak dari ibu,Bahasa Indonesia,Bahasa Padang,"Bahasa Indonesia, Bahasa Inggris",Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Padang, Bahasa Palembang",SMA,Sumatera Barat - Balaiselasa, ,pertamina,Islam,1941,Bahasa Jawa,"Bahasa Padang, Bahasa Palembang, Bahasa Belanda"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,"Padang, Palembang",Ibu dari bapak,,Bahasa Padang,,Bahasa Padang,"Bahasa Padang, Bahasa Palembang","Bahasa Padang, Bahasa Palembang",SD,Sumatera Barat - Balaiselasa, ,ibu rumah tangga,Islam,1922,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,"Padang, Jawa",Bapak dari bapak,,Bahasa Jawa,,Bahasa Padang,"Bahasa Padang, Bahasa Palembang","Bahasa Jawa, Bahasa Padang",SMA,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,pengawas kebun teh,Islam,1918,Bahasa Indonesia,"Bahasa Jepang, Bahasa Inggris, Bahasa Sunda"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,Sunda,Istri/Suami,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Palembang, Bahasa Sunda",,"Bahasa Indonesia, Bahasa Sunda",S1,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,Event organizer,Islam,55,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,"Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris","Bahasa Indonesia, Bahasa Inggris","Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris","Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris",S1,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,swasta,Islam,24,,
7 Dec UN #26,YXVBXI,1.30405E+23,62, ,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,7,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa keturunan,Ibu,Bahasa Indonesia,Bahasa Indonesia,,"Bahasa Indonesia, Bahasa Sunda",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Belanda",MULO,Jawa Timur - Kabupaten Ponorogo,Jawa Barat - Kota Bandung,ibu rumah tangga,Kristen (Katolik),1923,Bahasa Indonesia,"Bahasa Jawa, Bahasa Sunda, Bahasa Belanda"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa keturunan,Bapak,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",SD,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,pegawai bank,Kristen (Katolik),1915,Bahasa Indonesia,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,,Jawa Timur - Kabupaten Ponorogo, ,ibu rumah tangga,Kristen (Katolik),1900,Bahasa Indonesia,Bahasa Sunda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,Pegawai,Kristen (Katolik),1901,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Sunda,,Bahasa Indonesia,Sarjana muda,Jawa Barat - Kabupaten Cianjur,Jawa Barat - Kota Bandung,,Kristen (Katolik),70,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,,,,,,,,,,,,,,,
7 Dec UN #27,QMRKUR,1.30405E+23,60, ,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
,BMDKPY,1.30405E+23,1971, ,Laki,,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
,DTDVUS,1.30405E+23,1991,Jawa Tengah - Kota Semarang,Perempuan,orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
..,WYNGZC,1.30406E+23,1972,Jawa Barat - Kota Bandung,Perempuan,orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Critical and crucial ,BOAXJQ,1.30406E+23,1993,Jawa Barat - Kabupaten Bekasi,Laki,orang tua saya,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
7 Dec UN #27,ZKCOUE,1.30409E+23,60, ,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,7,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu,Bahasa Belanda,"Bahasa Sunda, Bahasa Belanda","Bahasa Sunda, Bahasa Indonesia","Bahasa Sunda, Bahasa Indonesia","Bahasa Sunda, Bahasa Indonesia","Bahasa Sunda, Bahasa Indonesia",SMA,Jawa Barat - Kabupaten Sumedang,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,18,Bahasa Sunda,"Bahasa Indonesia, Bahasa Belanda"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak,Bahasa Belanda,Bahasa Sunda,"Bahasa Sunda, Bahasa Indonesia","Bahasa Sunda, Bahasa Indonesia","Bahasa Sunda, Bahasa Indonesia",Bahasa Sunda,SMA,Jawa Barat - Kota Bandung, ,Purnawirawan ABRI,Islam,22,"Bahasa Sunda, Bahasa Indonesia",Bahasa Belanda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu dari ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Jawa Barat - Kabupaten Sumedang, ,,Islam,30,Bahasa Sunda,Bahasa Sunda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak dari ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Jawa Barat - Kota Bandung, ,,Islam,40,Bahasa Sunda,Bahasa Sunda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Jawa Barat - Kota Bandung, ,,Islam,,Bahasa Sunda,Bahasa Sunda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Jawa Barat - Kota Bandung, ,,Islam,,Bahasa Sunda,Bahasa Sunda
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,Sunda,Istri/Suami,"Bahasa Sunda, Bahasa Indonesia",Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Indonesia,Sarjana,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,,Islam,6,Bahasa Sunda,"Bahasa Sunda, Bahasa Indonesia"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,,,,,,,,,,,,,,,
7 Dec UN #28,MZTYGG,1.30409E+23,41, ,Laki,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,"Bahasa Jawa, Bahasa Indonesia",Bahasa Jawa,Bahasa Indonesia,"Bahasa Jawa, Bahasa Sunda, Bahasa Indonesia","Bahasa Jawa, Bahasa Indonesia","Bahasa Jawa, Bahasa Indonesia",SPG,Jawa Tengah,Bali - Kota Denpasar,Guru SD,Kristen (Katolik),1952,Bahasa Jawa,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,"Bahasa Jawa, Bahasa Indonesia",Bahasa Jawa,Bahasa Indonesia,"Bahasa Jawa, Bahasa Indonesia","Bahasa Jawa, Bahasa Indonesia",Bahasa Jawa,SGPD,Jawa Timur,Bali - Kota Denpasar,ABRI,Islam,1940,Bahasa Jawa,Bahasa Belanda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,"Bahasa Jawa, Bahasa Indonesia",Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,"Bahasa Jawa, Bahasa Indonesia",SD,Jawa Tengah - Kabupaten Boyolali,Jawa Barat - Kota Bandung,housewife,Kristen (Katolik),1928,Bahasa Jawa,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,,Bahasa Jawa,Bahasa Indonesia,"Bahasa Jawa, Bahasa Indonesia",Bahasa Jawa,"Bahasa Jawa, Bahasa Indonesia",SMP,Jawa Tengah - Kota Salatiga, ,ABRI,Kristen (Katolik),1920,Bahasa Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,Bahasa Sunda,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,Bahasa Indonesia,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,Sunda,Istri/Suami,"Bahasa Sunda, Bahasa Indonesia",Bahasa Sunda,"Bahasa Sunda, Bahasa Indonesia","Bahasa Sunda, Bahasa Indonesia",,Bahasa Sunda,S1,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,PNS,Islam,35,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,Bahasa Indonesia,,,,,,, , ,,,4,,
7 Dec UN #29,MORHAA,1.30409E+23,52, ,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Minangkabau,Ibu,,Bahasa Minangkabau,Bahasa Minangkabau,Bahasa Minangkabau,Bahasa Minangkabau,Bahasa Minangkabau,Guru Bidan,Sumatera Barat - Kota Padang,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,1991,Bahasa Minangkabau,"Bahasa Indonesia, Bahasa Belanda"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Minangkabau,Bapak,,Bahasa Minangkabau,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Bahasa Minangkabau,Bahasa Minangkabau,SMA,Sumatera Barat - Kota Padang,Jawa Barat - Kota Bandung,Pensiunan ABRI,Islam,2005,Bahasa Minangkabau,"Bahasa Indonesia, Bahasa Belanda"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,Bahasa Rusia,"Bahasa Indonesia, Bahasa Minang"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,Bahasa Rusia,Bahasa Inggris
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,Minangkabau,Istri/Suami,"Bahasa Indonesia, Bahasa Rusia",Bahasa Minang,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Indonesia,Magister,Sumatera Barat - Kota Padang,Jawa Barat - Kota Bandung,Dosen,Islam,60,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,Bahasa Moskow,Bahasa Rusia,Bahasa Rusia,Bahasa Rusia,,Bahasa Rusia,Magister,di luar Indonesia - Rusia,di luar Indonesia - Rusia,,,30,,
,LBEIIM,1.30411E+23,1985,DKI Jakarta - Kota Administrasi Jakarta Utara,Perempuan,orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
,CDDPXQ,1.30411E+23,1991,DKI Jakarta - Kota Administrasi Jakarta Selatan,Perempuan,orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
,RFOTJC,1.30502E+23,1989,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,orangtua,,Pilih lokasi dari propinsi ini saja,7,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Cina,Ibu,indonesia,bangka,,indonesia,indonesia,bangka,SMA,Lampung - Kabupaten Lampung Selatan,DKI Jakarta - Kota Administrasi Jakarta Barat,Ibu rumah tangga,Kristen (Protestan),1954,indonesia,bangka
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Cina,Bapak,indonesia,ke,indonesia,indonesia,indonesia,indonesia,SMA,DKI Jakarta - Kota Administrasi Jakarta Barat,DKI Jakarta - Kota Administrasi Jakarta Barat,wiraswasta,Kristen (Protestan),1950,indonesia,ke
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Cina,Ibu dari ibu,bangka,bangka,,indonesia,bangka,bangka,,Kepulauan Bangka Belitung - Kabupaten Bangka,Lampung - Kabupaten Lampung Selatan,ibu rumah tangga,Kristen (Protestan),1930,bangka,indonesia
