session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs,dengan_ibu_lang,dengan_bapak_lang,dengan_kakak_adik_lang,dengan_nenek_dan_kakek_lang,dengan_suami_istri_lang,dengan_sanak_saudara_lang,dengan_tetangga_lang,dengan_pembantu_lang,apabila_marah_lang,dalam_mimpi_lang,berhitung_lang,kirim_sms_ke_keluarga_lang,kirim_sms_ke_teman_lang,kirim_sms_ke_suami_istri_lang,dalam_jejaring_sosial_lang,berdoa_dalam_hati_lang,berdoa_di_tempat_ibadah_lang,di_rumah_lang,di_tempat_kerja_lang,di_pasar_lang,di_warung_lang,di_bank_lang,di_kantor_pos_lang,di_sd_dengan_guru_lang,di_sd_dengan_teman_sekelas_lang,di_sma_dengan_guru_lang,di_sma_dengan_teman_sekelas_lang,di_kendaraan_umum_lang,membaca_novel_lang,membaca_koran_lang,membaca_majalah_lang,mendengar_musik_lang,mendengar_radio_lang,menonton_tv_lang
geeesm,1994,lampung - kota kota bumi,laki,orangtua,3-5,indonesia,sunda,indonesia,indonesia,indonesia,sunda,sunda,d3,lampung - negararatu,lampung - negararatu,guru,islam,1960,indonesia,"sunda, jawa",indonesia,lampung,kebun,"jawa, sunda, lampung",indonesia,indonesia,lampung,sma,#name?,lampung - negararatu,pensiun,islam,1952,indonesia,"lampung, jawa, sunda",,,,,,,,,,,,,,lampung,lampung,,,,,,,,, , ,,,,,,lampung,lampung,lampung,lampung,lampung,lampung,lampung,,lampung,#name?,,islam,1920,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,inggris,indonesia,arab,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,inggris,indonesia,inggris
iyzryb,1994,lampung - kabupaten pringsewu,perempuan,orangtua,3-5,,batak,,indonesia,indonesia,indonesia,batak,spg,sumatera utara - kota tanjungbalai,,guru,kristen (protestan),1960,batak,indonesia,indonesia,batak,indonesia,indonesia,indonesia,batak,batak,spn bintara,sumatera utara - kabupaten tapanuli utara,lampung - kabupaten pringsewu,polri,kristen (protestan),1958,batak,indonesia,,,,,,,batak,, , ,,kristen (protestan),,batak,indonesia,,,,,,,batak,, , ,,kristen (protestan),,batak,indonesia,,,,,,,batak,, , ,,kristen (protestan),,batak,indonesia,,,,,,,batak,, , ,,kristen (protestan),,batak,indonesia,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,inggris,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,inggris,indonesia,indonesia
ifywqy,1995,lampung - kota bandar lampung,perempuan,orangtua,lebih dari 24,,,,,,,lampung,s1, , ,pns,islam,1969,,,,,,,,,lampung,s1, , ,pns,islam,1968,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhwdri,1995,lampung - kabupaten pesawaran,perempuan,sendiri/ ngekost,6-12,indonesia,indonesia,indonesia,"sunda, indonesia",indonesia,sunda,sunda,slta,lampung,lampung - kabupaten pesawaran,ibu rumah tangga,islam,1987,"sunda, indonesia",indonesia,indonesia,indonesia,indonesia,"lampung, indonesia",indonesia,lampung,lampung,slta,lampung,lampung - kabupaten pesawaran,anggota dpr,islam,1982,indonesia,indonesia,indonesia,padang,indonesia,indonesia,indonesia,indonesia,padang,sma,jawa tengah - kabupaten semarang,lampung,ibu rumah tangga,islam,1950,indonesia,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sma,lampung,lampung,petani,islam,1940,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sunda,smp,lampung,lampung,ibu rumah tangga,islam,1940,sunda,sunda,lampung,lampung,lampung,lampung,sunda,lampung,lampung,sma,lampung,lampung,wiraswasta,islam,1930,lampung,sunda,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,inggris,,,indonesia,arab,,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,,,
xmozzv,1994,sumatera selatan - kota palembang,perempuan,orangtua,1-2,palembang,palembang,pt ppi,palembang,,palembang,sumatra,sma,sumatera selatan - kota palembang,sumatera selatan - kota palembang,bumn,islam,1964,palembang,indonesia,palembang,palembang,pt ppi,palembang,,palembang,"jawa, palembang",sma,sumatera selatan - kota palembang,sumatera selatan - kota palembang,bumn,islam,1960,palembang,indonesia,palembang,palembang,palembang,palembang,,palembang,betawi,sd,bengkulu,sumatera selatan - kota palembang,ibu rt,islam,1944,palembang,indonesia,palembang,palembang,palembang,palembang,,palembang,palembang,sma,sumatera selatan - kota palembang,sumatera selatan - kota palembang,pengadaian,islam,1940,jawa,indonesia,palembang,palembang,palembang,palembang,,palembang,jawa,,jawa,sumatera selatan - kota palembang,,islam,1945,jawa,,palembang,palembang,palembang,palembang,,palembang,jawa,,sumatera selatan - kota palembang,sumatera selatan - kota palembang,,islam,1939,palembang,,palembang,palembang,palembang,palembang,,palembang,palembang,palembang,"inggris, palembang, indonesia",indonesia,"inggris, indonesia","inggris, indonesia",indonesia,,"indonesia, inggris",indonesia,"indonesia, arab",palembang,,indonesia,indonesia,indonesia,indonesia,indonesia,palembang,palembang,palembang,indonesia,indonesia,indonesia,indonesia,inggris,indonesia,"inggris, indonesia"
oxfvyk,1995,gorontalo - kabupaten gorontalo,perempuan,ayah dan ibu,1-2,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,gorontalo,sma,gorontalo - kabupaten gorontalo,gorontalo - kabupaten gorontalo,wirausaha,islam,1955,indonesia,gorontalo,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,arab,s2,dki jakarta - jakarta,gorontalo - kabupaten gorontalo,pengawai negeri,islam,1952,indonesia,gorontalo,jawa,jawa,jawa,jawa,jawa,jawa,sunda,sma, , ,,islam,1930,sunda,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,jawa,sma, , ,,islam,1930,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,gorontalo,sma, , ,,islam,1929,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,arab,sma, , ,,islam,1930,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,gorontalo,indonesia,indonesia,inggris,,indonesia,indonesia,"indonesia, inggris",,inggris,"arab, indonesia","arab, indonesia",indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"arab, indonesia, inggris","arab, indonesia, inggris",indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris"
ykfijb,1994,lampung - kota bandar lampung,perempuan,orangtua,12-24,indonesia,jawa,,indonesia,indonesia,"jawa, indonesia",jawa,sma,jawa timur - kota surabaya,lampung - kota bandar lampung,ibu rumah tangga,islam,1965,indonesia,jawa,indonesia,"indonesia, cina",indonesia,indonesia,indonesia,"china, indonesia",chinese,sma,jawa timur - kota surabaya,lampung - kota bandar lampung,ibu rumah tangga,islam,1963,indonesia,cina,,,,,,,,, , ,,,,,cina,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,"indonesia, inggris","indonesia, jawa, cina",,"indonesia, jawa, cina",indonesia,,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",,inggris,"indonesia, arab","indonesia, arab",indonesia,"inggris, indonesia",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris, korea"
eebsvx,1994,lampung - kota bandar lampung,perempuan,orangtua,6-12,indonesia,jawa,indonesia,indonesia,indonesia,jawa,jawa,s1,jawa,lampung - kota bandar lampung,pns,islam,1963,jawa,indonesia,indonesia,palembang,indonesia,indonesia,indonesia,indonesia,"palembang, betawi",s2,#name?,lampung - kota bandar lampung,pns,islam,1961,palembang,indonesia,,,,,,,jawa,s1,jawa,jawa,perawat,islam,,palembang,,,,,,,,jawa,,jawa,jawa,pengusaha,islam,,jawa,,,,,,,,betawi,s1,dki jakarta - jakarta, ,perawat,islam,,jawa,,,,,,,,palembang,s1,sumatera selatan - kota palembang,lampung,akuntan,islam,,betawi,,indonesia,"indonesia, inggris",indonesia,indonesia,,indonesia,indonesia,indonesia,inggris,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris",,"indonesia, inggris","indonesia, arab","arab, indonesia","indonesia, inggris","indonesia, inggris",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris",inggris,indonesia,"indonesia, inggris"
yjehos,1994,dki jakarta - kota administrasi jakarta barat,perempuan,orangtua,lebih dari 24,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,lampung,s2,lampung,dki jakarta - jakarta,pns,islam,1966,indonesia,inggris,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"betawi, lampung",d3,dki jakarta - jakarta,dki jakarta - jakarta,wiraswasta,islam,1965,indonesia,lampung,,,,,,,lampung,,lampung,lampung,,islam,,indonesia,lampung,,,,,,,lampung,,lampung,lampung,,islam,,indonesia,lampung,,,,,,,betawi,,dki jakarta - jakarta,dki jakarta - jakarta,,islam,,indonesia,betawi,,,,,,,lampung,,#name?,dki jakarta - jakarta,,islam,,indonesia,betawi,"indonesia, inggris",indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris",indonesia,indonesia,,"indonesia, inggris",indonesia,"arab, indonesia",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris",indonesia,"indonesia, inggris"
uqmibg,1987,lampung - kota bandar lampung,perempuan,orangtua,3-5,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,lampung,sma,lampung - kota bandar lampung,lampung - kota bandar lampung,pns,islam,1959,indonesia,lampung,indonesia,indonesia,"inggris, indonesia",indonesia,indonesia,indonesia,bengkulu,d3,lampung - kota bandar lampung,lampung - kota bandar lampung,pns,islam,1956,indonesia,"lampung, bengkulu, inggris",lampung,lampung,indonesia,"lampung, indonesia",indonesia,"lampung, indonesia",lampung,sekolah guru,lampung,lampung,guru,islam,,lampung,"lampung, bengkulu, inggris","indonesia, lampung","lampung, indonesia",indonesia,"indonesia, lampung","indonesia, lampung","indonesia, lampung",lampung,sekolah guru,lampung,lampung,guru,islam,,lampung,indonesia,,,,,,,bengkulu,,lampung,lampung,ibu rumah tangga,islam,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,bengkulu,,lampung,lampung,wiraswasta,islam,,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,,indonesia,indonesia,,"indonesia, inggris",,indonesia,indonesia,"inggris, indonesia",,"inggris, indonesia","inggris, indonesia","inggris, indonesia",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"inggris, indonesia","inggris, indonesia",indonesia,"inggris, indonesia","inggris, indonesia","inggris, indonesia","inggris, indonesia","inggris, indonesia","inggris, indonesia"
gdsgsc,1994,lampung - kota bandar lampung,perempuan,orangtua,1-2,indonesia,sunda,rumah,indonesia,indonesia,indonesia,sunda,smp,jawa barat - kabupaten cirebon,lampung - kota bandar lampung,irt,islam,1964,indonesia,sunda,"indonesia, palembang",palembang,bulog,indonesia,indonesia,palembang,palembang,sma,lampung - kota bandar lampung,lampung - kota bandar lampung,pengawai negeri swasta,islam,1959,"indonesia, palembang",palembang,,,,,,,,, , ,,,,"indonesia, palembang",palembang,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,"indonesia, sunda",indonesia,"indonesia, sunda",sunda,"indonesia, sunda, inggris, jawa",indonesia,indonesia,indonesia,"indonesia, inggris, sunda","indonesia, inggris",indonesia,indonesia,indonesia,"indonesia, sunda","indonesia, inggris",indonesia,indonesia,"indonesia, sunda","indonesia, inggris",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,inggris
ikkkra,1994,jawa timur - lamongan,laki,"orang tua, keluarga",6-12,"jawa madya, krama","ngoko, madya, krama","jawa madya, krama","jawa madya, krama",madya,madya,jawa,"mts, smp",jawa timur - lamongan,jawa timur - lamongan,ibu rumah tangga,islam,1972,madya,indonesia,"ngoko, madya, krama",sunda,jawa ngoko,"ngoko, madya, krama",madya,"jawa ngoko, jawa madya",sunda,sd,jawa barat - kabupaten bandung,jawa timur - lamongan,petani,islam,1965,sunda,indonesia,krama,"jawa ngoko, jawa madya",madya,madya,krama,madya,jawa,mts,jawa timur - lamongan,jawa timur - lamongan,tani,islam,,sunda,,krama,"jawa ngoko, jawa madya",madya,madya,krama,madya,jawa,sd,jawa timur - lamongan,jawa timur - lamongan,tani,islam,,"ngoko, madya, krama",,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sd,jawa barat - kabupaten bandung,jawa timur - lamongan,tani,islam,,"ngoko, madya, krama",,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sd,jawa barat - kabupaten bandung,jawa timur - lamongan,tani,islam,,sunda,,"jawa madya, krama","jawa madya, krama",madya,"jawa madya, krama",,"jawa madya, krama","jawa madya, krama",,jawa ngoko,"jawa ngoko, jawa madya",jawa ngoko,"jawa madya, krama",madya,,indonesia,"indonesia, madya, krama",arab,"ngoko, madya, krama",indonesia,"jawa madya, krama",jawa ngoko,indonesia,indonesia,indonesia,jawa ngoko,indonesia,jawa ngoko,madya,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
rlqhzp,1996,jawa timur - kabupaten trenggalek,perempuan,orang tua,6-12,jawa,jawa,jawa,jawa,jawa,"jawa, indonesia",jawa,smp,jawa timur - kabupaten trenggalek,jawa timur - kabupaten trenggalek,petani,islam,1976,"jawa, trenggalek",,jawa,jawa,jawa,jawa,jawa,"jawa, indonesia",jawa,paket c,jawa timur - kabupaten trenggalek,jawa timur - kabupaten trenggalek,petani,islam,1970,"jawa, trenggalek",,jawa,jawa,jawa,jawa,jawa,"jawa, indonesia",jawa,sd,jawa timur - kabupaten trenggalek,jawa timur - kabupaten trenggalek,petani,islam,1955,jawa,,jawa,jawa,jawa,jawa,jawa,"jawa, indonesia",jawa,sd,jawa timur - kabupaten trenggalek,jawa timur - kabupaten trenggalek,petani,islam,1949,jawa,,jawa,jawa,jawa,jawa,jawa,"jawa, indonesia",jawa,sd,jawa timur - kabupaten trenggalek,jawa timur - kabupaten trenggalek,petani,islam,1955,jawa,,jawa,jawa,jawa,jawa,jawa,"jawa, indonesia",jawa,sd,jawa timur - kabupaten trenggalek,jawa timur - kabupaten trenggalek,petani,islam,1948,jawa,,jawa,jawa,jawa,jawa,,"jawa, indonesia",jawa,,jawa,jawa,jawa,jawa,"jawa, indonesia",,"jawa, indonesia",jawa,jawa,jawa,,jawa,jawa,indonesia,indonesia,jawa,jawa,jawa,jawa,jawa,indonesia,indonesia,indonesia,"jawa, indonesia","jawa, indonesia","jawa, indonesia"
niscsp,1996,daerah istimewa yogyakarta - kabupaten sleman,perempuan,keluarga,lebih dari 24,jawa,jawa,jawa,jawa,jawa,jawa,jawa,"sd, mi",daerah istimewa yogyakarta - kabupaten sleman,daerah istimewa yogyakarta - kabupaten sleman,pedagang,islam,1961,jawa ngoko,jawa krama,jawa,jawa,jawa,jawa,jawa,jawa,jawa,"sd, mi",daerah istimewa yogyakarta - kabupaten sleman,daerah istimewa yogyakarta - kabupaten sleman,buruh lepas,islam,1957,jawa ngoko,jawa krama,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kabupaten sleman,daerah istimewa yogyakarta - kabupaten sleman,petani,islam,1942,jawa ngoko,jawa krama,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kabupaten sleman,daerah istimewa yogyakarta - kabupaten sleman,buruh,islam,1935,jawa ngoko,jawa krama,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kabupaten sleman,daerah istimewa yogyakarta - kabupaten sleman,pedangang,islam,1940,jawa ngoko,jawa krama,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kabupaten sleman,daerah istimewa yogyakarta - kabupaten sleman,buruh,islam,1930,jawa ngoko,jawa krama,"jawa krama, ngoko","jawa krama, ngoko","jawa krama, ngoko","jawa krama, ngoko",,"jawa krama, ngoko","jawa krama, ngoko",,"ngoko, indonesia","jawa, indonesia","jawa, indonesia","jawa krama, ngoko","ngoko, indonesia",,"indonesia, jawa, inggris","jawa, indonesia","jawa, indonesia",jawa,,jawa,jawa,indonesia,indonesia,jawa krama,jawa ngoko,"jawa krama, indonesia",jawa,jawa,"jawa, indonesia",indonesia,"jawa, indonesia","indonesia, jawa, inggris, arab","jawa, indonesia","jawa, indonesia"
oyltse,1995,daerah istimewa yogyakarta - kabupaten bantul,perempuan,orang tua,3-5,jawa,jawa,jawa,jawa,krama inggil,jawa,jawa,sd,daerah istimewa yogyakarta - kota yogyakarta,daerah istimewa yogyakarta - kota yogyakarta,ibu rumah tangga,islam,1975,jawa,indonesia,jawa,jawa,jawa,jawa,krama inggil,jawa,jawa,slta,daerah istimewa yogyakarta - kota yogyakarta,daerah istimewa yogyakarta - kota yogyakarta,wiraswasta,islam,1973,jawa,indonesia,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kota yogyakarta,daerah istimewa yogyakarta - kota yogyakarta,petani,islam,,jawa,indonesia,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kota yogyakarta,daerah istimewa yogyakarta - kota yogyakarta,petani,islam,,jawa,indonesia,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kota yogyakarta,daerah istimewa yogyakarta - kota yogyakarta,petani,islam,,jawa,indonesia,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kota yogyakarta,daerah istimewa yogyakarta - kota yogyakarta,petani,islam,,jawa,indonesia,krama inggil,krama inggil,ngoko,krama inggil,,jawa,jawa,,ngoko,jawa,indonesia,jawa,indonesia,,indonesia,indonesia,indonesia,jawa,,krama inggil,jawa,indonesia,indonesia,indonesia,jawa,"jawa, indonesia",jawa,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,jawa
eerwkx,1996,jawa timur - kabupaten bojonegoro,perempuan,orang tua,lebih dari 24,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa,smp,jawa timur - kabupaten bojonegoro, jawa timur - kabupaten bojonegoro,petani,islam,1976,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa,sma,jawa timur - kabupaten bojonegoro,jawa timur - kabupaten bojonegoro,petani,islam,1965,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa,,jawa timur - kabupaten bojonegoro,jawa timur - kabupaten bojonegoro,petani,islam,1950,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa,,jawa timur - kabupaten bojonegoro,jawa timur - kabupaten bojonegoro ,petani,islam,1950,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa,,jawa timur - kabupaten bojonegoro,jawa timur - kabupaten bojonegoro,petani,islam,1950,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,jawa,,jawa timur - kabupaten bojonegoro,jawa timur - kabupaten bojonegoro,,islam,1950,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,jawa ngoko,jawa ngoko,,jawa krama,jawa krama,,jawa ngoko,jawa,jawa ngoko,jawa ngoko,jawa ngoko,,indonesia,indonesia,"indonesia, arab",jawa ngoko,,jawa krama,jawa krama,indonesia,indonesia,jawa krama,jawa ngoko,indonesia,indonesia,jawa krama,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
skiouu,1995,daerah istimewa yogyakarta - kabupaten gunung kidul,perempuan,orang tua,1-2,ngoko,jawa krama inggil,ngoko,jawa krama madya,jawa ngoko alus,jawa krama inggil,jawa,smp,daerah istimewa yogyakarta - kabupaten gunung kidul,daerah istimewa yogyakarta - kabupaten gunung kidul,ibu rumah tangga,islam,1970,krama jogja,,ngoko,jawa krama inggil,jawa krama inggil,jawa krama madya,jawa ngoko alus,jawa krama inggil,jawa,sma,daerah istimewa yogyakarta - kabupaten gunung kidul,daerah istimewa yogyakarta - kabupaten gunung kidul,petani,islam,1965,krama jogja,,jawa,jawa,,jawa krama,jawa krama,jawa krama,jawa,,daerah istimewa yogyakarta - kabupaten gunung kidul,daerah istimewa yogyakarta - kabupaten gunung kidul,petani,islam,1935,jawa krama,,jawa,jawa,,jawa krama,ngoko,jawa krama,jawa,,daerah istimewa yogyakarta - kabupaten gunung kidul,daerah istimewa yogyakarta - kabupaten gunung kidul,petani,islam,1920,jawa krama,,jawa,jawa,,jawa krama,jawa krama,jawa krama,jawa,,daerah istimewa yogyakarta - kabupaten gunung kidul,daerah istimewa yogyakarta - kabupaten gunung kidul,petani,islam,1920,jawa krama,,jawa,jawa,,jawa krama,ngoko,jawa krama,jawa,,daerah istimewa yogyakarta - kabupaten gunung kidul,daerah istimewa yogyakarta - kabupaten gunung kidul,petani,islam,1910,jawa krama,,jawa krama madya,jawa krama madya,ngoko,jawa krama inggil,,jawa krama madya,jawa krama inggil,,ngoko,jawa,indonesia,ngoko,ngoko,,"jawa, indonesia",indonesia,arab,jawa ngoko alus,indonesia,jawa krama madya,jawa krama madya,indonesia,indonesia,jawa krama inggil,ngoko,indonesia,ngoko,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia
ukornv,1996,daerah istimewa yogyakarta - kota yogyakarta,perempuan,"bapak, ibu, saudara",6-12,jawa ngoko,jawa ngoko,,jawa krama,jawa ngoko,jawa ngoko,jawa,smp,daerah istimewa yogyakarta - kabupaten bantul,daerah istimewa yogyakarta - kota yogyakarta,ibu rumah tangga,islam,1971,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,jawa krama,jawa krama,jawa ngoko,jawa ngoko,jawa,sd,daerah istimewa yogyakarta - kota yogyakarta,daerah istimewa yogyakarta - kota yogyakarta,buruh,islam,1966,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,,jawa krama,jawa ngoko,jawa ngoko,jawa,,daerah istimewa yogyakarta - kabupaten bantul,daerah istimewa yogyakarta - kota yogyakarta,,islam,,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,,jawa krama,jawa ngoko,jawa ngoko,jawa,,daerah istimewa yogyakarta - kabupaten bantul,daerah istimewa yogyakarta - kota yogyakarta,,islam,,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,,jawa krama,jawa ngoko,jawa ngoko,jawa,,daerah istimewa yogyakarta - kabupaten bantul,daerah istimewa yogyakarta - kota yogyakarta,,islam,,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,,jawa krama,jawa ngoko,jawa ngoko,jawa,,daerah istimewa yogyakarta - kota yogyakarta,daerah istimewa yogyakarta - kota yogyakarta,,islam,,jawa ngoko,jawa krama,jawa ngoko,jawa ngoko,jawa ngoko,jawa krama,,jawa ngoko,jawa krama,,jawa ngoko,,jawa ngoko,jawa krama,"jawa ngoko, indonesia",,indonesia,indonesia,indonesia,jawa ngoko,,jawa krama,jawa krama,indonesia,indonesia,indonesia,jawa ngoko,indonesia,"jawa ngoko, indonesia",indonesia,indonesia,indonesia,indonesia,"inggris, indonesia",indonesia,indonesia
